defect_id,production_id,defect_type,defect_quantity,inspection_date
1,68173,Alignment Issue,42.0,2024-06-23
2,44929,Crack,33.0,2025-09-06
3,11377,Color Mismatch,10.0,2025-04-13
4,34816,Alignment Issue,33.0,2024-02-23
5,49622,Alignment Issue,37.0,2024-04-25
6,51575,Color Mismatch,10.0,2024-03-31
7,70373,Crack,27.0,2025-12-15
8,85930,Alignment Issue,3.0,2025-05-26
9,80295,Alignment Issue,16.0,2024-08-16
10,89103,Material Fault,44.0,2025-07-05
11,5058,Alignment Issue,15.0,2024-09-11
12,32637,Color Mismatch,9.0,2024-11-08
13,15375,Color Mismatch,39.0,2024-04-24
14,31245,Color Mismatch,1.0,2025-09-10
15,58732,Material Fault,48.0,2025-01-19
16,11293,Crack,37.0,2024-12-08
17,48592,Crack,10.0,2025-03-11
18,47594,Crack,36.0,2024-05-03
19,99428,Material Fault,19.0,2024-05-19
20,22677,Material Fault,37.0,2025-06-12
21,65729,Color Mismatch,33.0,2026-01-05
22,59433,Material Fault,38.0,2025-09-19
23,12281,Crack,34.0,2024-04-18
24,97683,Crack,27.0,2024-06-27
25,78162,Material Fault,8.0,2025-12-01
26,57408,Color Mismatch,28.0,2025-02-06
27,80311,Material Fault,35.0,2025-03-06
28,33003,Crack,39.0,2024-07-30
29,70591,Color Mismatch,38.0,2025-02-08
30,97326,Alignment Issue,39.0,2024-10-03
31,68760,Crack,37.0,2024-05-03
32,99294,Alignment Issue,26.0,2024-03-03
33,77480,Crack,30.0,2024-04-03
34,86219,Crack,12.0,2025-09-15
35,23960,Crack,44.0,2025-01-15
36,37268,Color Mismatch,39.0,2024-08-07
37,2155,Color Mismatch,40.0,2025-10-18
38,38998,Color Mismatch,29.0,2024-08-03
39,9178,Color Mismatch,20.0,2025-01-28
40,92529,Crack,8.0,2024-10-09
41,42611,Alignment Issue,46.0,2025-06-15
42,28391,Color Mismatch,44.0,2025-01-21
43,28085,Crack,20.0,2025-07-01
44,1901,Material Fault,47.0,2025-05-06
45,54854,Material Fault,2.0,2024-11-24
46,9921,Crack,25.0,2024-10-31
47,23514,Material Fault,32.0,2024-06-16
48,5446,Color Mismatch,2.0,2024-08-14
49,60284,Material Fault,6.0,2024-10-04
50,12000,Crack,47.0,2025-03-18
51,8900,Crack,9.0,2025-11-05
52,93673,Crack,40.0,2024-04-25
53,10556,Alignment Issue,28.0,2025-06-11
54,67067,Alignment Issue,49.0,2025-09-10
55,12959,Color Mismatch,37.0,2025-05-01
56,18587,Color Mismatch,26.0,2025-01-23
57,16057,Alignment Issue,49.0,2024-09-13
58,10047,Alignment Issue,,2025-05-05
59,41617,Alignment Issue,35.0,2025-08-28
60,8655,Material Fault,,2025-12-29
61,22714,Material Fault,2.0,2025-12-25
62,70773,Alignment Issue,39.0,2024-12-06
63,68484,Crack,33.0,2025-02-20
64,57599,Material Fault,8.0,2024-11-12
65,82725,Color Mismatch,48.0,2026-02-17
66,42490,Alignment Issue,26.0,2025-01-12
67,26546,Crack,33.0,2025-08-09
68,24136,Material Fault,47.0,2024-09-07
69,52421,Material Fault,7.0,2025-03-28
70,16173,Color Mismatch,18.0,2026-02-06
71,8022,Material Fault,37.0,2025-01-06
72,18038,Crack,49.0,2024-05-25
73,30105,Material Fault,7.0,2025-02-16
74,82107,Material Fault,38.0,2025-10-02
75,45933,Material Fault,8.0,2025-08-23
76,51391,Color Mismatch,3.0,2024-11-16
77,16767,Alignment Issue,48.0,2024-09-02
78,50960,Crack,47.0,2025-10-09
79,57967,Alignment Issue,28.0,2026-01-29
80,65933,Color Mismatch,4.0,2025-11-22
81,20065,Alignment Issue,45.0,2025-10-30
82,35317,Alignment Issue,42.0,2024-10-31
83,5058,Color Mismatch,10.0,2024-11-11
84,94344,Color Mismatch,45.0,2025-12-24
85,4109,Crack,38.0,2024-10-16
86,25724,Color Mismatch,26.0,2025-12-10
87,23136,Alignment Issue,20.0,2024-09-23
88,56272,Color Mismatch,49.0,2024-07-26
