inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,last_updated
1,249,Chennai,3060.0,196,2025-12-29
2,348,Chennai,3198.0,252,2025-04-13
3,50,Mumbai,3533.0,562,2025-05-08
4,189,Pune,2568.0,284,2025-08-15
5,177,Pune,1495.0,301,2025-11-14
6,130,Chennai,4832.0,429,2025-04-08
7,109,Mumbai,3368.0,228,2025-10-01
8,99,Pune,3172.0,788,2025-06-15
9,11,Pune,2539.0,347,2025-03-24
10,109,Delhi,1070.0,240,2025-11-22
11,401,Chennai,4818.0,610,2025-09-18
12,40,Chennai,3294.0,864,2025-05-27
13,442,Bangalore,2852.0,735,2025-10-26
14,449,Pune,1331.0,241,2025-11-18
15,328,Chennai,4350.0,392,2026-01-30
16,203,Bangalore,1318.0,249,2025-12-08
17,100,Delhi,2079.0,657,2025-12-08
18,293,Chennai,598.0,467,2025-12-01
19,273,Delhi,4784.0,575,2025-08-16
20,428,Bangalore,3790.0,996,2025-12-31
21,145,Bangalore,804.0,759,2025-04-03
22,227,Pune,1635.0,519,2025-03-25
23,18,Mumbai,646.0,730,2025-10-20
24,149,Chennai,1333.0,495,2026-01-28
25,349,Bangalore,4400.0,443,2025-03-24
26,287,Chennai,482.0,977,2025-11-19
27,55,Delhi,1531.0,888,2025-08-08
28,228,Bangalore,310.0,594,2025-05-23
29,114,Mumbai,2210.0,259,2025-11-02
30,179,Mumbai,3613.0,295,2026-01-15
31,24,Pune,797.0,295,2025-07-31
32,118,Delhi,4026.0,477,2025-07-22
33,229,Mumbai,,190,2025-04-13
34,494,Pune,4685.0,988,2025-11-26
35,218,Delhi,4953.0,131,2026-01-06
36,355,Pune,2907.0,171,2025-04-30
37,364,Chennai,490.0,410,2025-08-31
38,331,Bangalore,103.0,157,2025-03-31
39,427,Mumbai,4873.0,977,2025-07-15
40,271,Delhi,1596.0,885,2025-10-12
41,183,Bangalore,2945.0,951,2025-12-01
42,173,Mumbai,132.0,295,2025-12-27
43,305,Chennai,716.0,215,2025-10-07
44,71,Mumbai,,919,2025-06-18
45,313,Chennai,408.0,177,2025-07-07
46,141,Pune,182.0,914,2026-01-14
47,308,Chennai,3469.0,895,2025-09-29
48,470,Bangalore,,990,2025-05-18
49,192,Mumbai,329.0,394,2025-09-04
50,12,Pune,3393.0,679,2025-11-02
51,10,Mumbai,2069.0,511,2025-04-16
52,350,Chennai,4684.0,894,2025-11-20
53,404,Chennai,4724.0,522,2025-04-25
54,281,Bangalore,419.0,792,2025-10-22
55,166,Chennai,2540.0,777,2025-10-14
56,263,Pune,3960.0,614,2025-05-12
57,281,Pune,3910.0,879,2025-08-16
58,291,Mumbai,4847.0,458,2025-06-09
59,217,Pune,2757.0,602,2025-12-05
60,4,Delhi,4704.0,510,2025-12-20
61,144,Mumbai,2574.0,401,2025-04-22
62,188,Bangalore,2900.0,544,2025-11-06
63,390,Mumbai,138.0,832,2025-09-04
64,277,Delhi,3885.0,816,2026-01-24
65,327,Mumbai,1218.0,226,2025-05-21
66,27,Chennai,3154.0,537,2025-02-28
67,443,Pune,4430.0,669,2025-03-07
68,401,Bangalore,1141.0,236,2025-04-27
69,314,Bangalore,644.0,270,2025-04-22
70,497,Chennai,4011.0,576,2025-07-26
71,302,Pune,2534.0,378,2025-02-23
72,385,Chennai,3159.0,827,2025-06-29
73,277,Mumbai,1955.0,471,2025-11-06
74,426,Mumbai,4449.0,675,2025-04-05
75,300,Delhi,1685.0,128,2025-12-20
76,141,Mumbai,340.0,544,2025-05-15
77,247,Mumbai,3083.0,748,2025-06-19
78,299,Bangalore,4117.0,304,2025-06-01
79,427,Delhi,3464.0,768,2025-10-11
80,363,Bangalore,2425.0,309,2025-12-11
81,290,Bangalore,3253.0,468,2025-11-18
